,Tweet,ann_1,ann_2,final_anns
56,Bummer. Car overheated during 3rd session. Either water pump or thermostat failed. $$$ tow to mechanics right now.,1,1,True
57,"RT @DogasusBackpack: ""I Choose You!"" &amp; ""Everyone's Story"" artist:  Yoshitaka Shinomiya (四宮義俊)  ""Mewtwo Strikes Back Evolution"" artist: Hiji…",1,1,True
58,@itzychavarin 🤣🤣🤣 BITCH,0,0,True
59,RT @AryaKuli: Crott https://t.co/8xFpYEdMfh,1,2,False
60,RT @SadFryG: They forced him to drink gasoline then burned him to death yet some still think israel is peaceful. Fuck y’all https://t.co/Gg…,1,1,True
61,"RT @OK_Dumbass: @MollyJongFast Cy Vance also needs to spend some time in prison.  But we already knew that, after his cave-in to Marc Kasow…",1,1,True
62,RT @DEADLINE: Kevin Spacey Assault Case May Be Tossed After Accuser Takes The Fifth Over Deleted Phone Data https://t.co/KFCdKPfG9Q https:/…,1,1,True
63,RT @smithkyliee: I really don’t want people that don’t want better for themselves in my life or around me anymore,1,1,True
64,RT @michaelgervais: How can you remain calm when it seems like you're facing an insurmountable challenge? @acheyer has the answer https://t…,2,1,False
65,"RT @JonahNRO: But since I have your attention, there are a remarkable number of people who think it’s fine to break glass in the woods. Mos…",2,1,False
66,@MineSweepa Fuck em,1,1,True
67,@rxbyxj ARE YOU JOKING THAT HURT MY EARS. ID HATE LIVING NEAR THAT PARK,0,0,True
68,@musictakesbot So Kurt Cobain's band is Kurt Cobain for jocks. Aight,2,0,False
69,Ah yes...that’s the photo I was recalling...sure looks like “a” island...but is it “the” island?  Maybe he can prov… https://t.co/D2C8EYcp71,2,0,False
70,RT @ImReallyOutHere: Today at the happiest place on earth. https://t.co/79j2godsUz,2,0,False
71,RT @BrendaC07819987: @DrRJKavanagh Cy Vance is the same DA that refused to bring charges of real estate fraud against Ivanka and Don Jr ove…,1,1,True
72,"I messed up the inventory, still some steam shovel hats left. I’m not good at math",0,0,True
73,RT @MrMcCockiner: Bro it’s fucking insane how dudes born in 2000 are now professional athletes. I remember having Pokémon card battles in K…,0,0,True
74,"@HarrisonSmith85 I think people are way too hard on this movie.  I mean, the shark jumped out of the water, stood o… https://t.co/Mf9JRH6KIv",1,0,False
75,And here we go https://t.co/gkRnL84VcA,2,1,False
76,RT @Nakamura3E: The way they can't reach each other💔 https://t.co/k5jFcuyCyi,2,1,False
77,"@Melodic__Cudgel ""Roman?""",1,2,False
78,RT @TrumpStudents: @realDonaldTrump @GOPLeader @GavinNewsom Thank you President Trump for Keeping America Safe 🇺🇸,1,1,True
79,"RT @latalani: If we flop w the voting this time when it’s an ACTUAL CATEGORY WE’RE NOMINATED UNDER, imma be pressed  Ik I’m a super small a…",1,2,False
80,@derek11027093 @YouTube Sorry can't listen won't stay connected don't like them a whole lot a few but,1,2,False
81,RT @Ibra_official: My favourite team of all time. I only have to decide the coach. Maybe will be Zlatan https://t.co/MvRN5krxPc,1,1,True
82,@ssbu_MGF i remember abt this one guy who posted ********* **** gifs all the time,2,0,False
83,RT @arnellarmon: Stop holding onto people that didn’t appreciate you when they had you,1,1,True
84,"Houndour Lvl 35 cp 1146 iv 100 -33.400138,-70.592633",1,2,False
85,RT @goodbeanalt: her: I like guys that are 6 feet😍😍  me: *looking down at my 2 feet* shit,0,0,True
86,"About #marketing, #sales, #communication: https://t.co/WImo9nXeW9",1,1,True
87,"RT @MayorofLondon: Our new cycling infrastructure, including protected bike lanes, has meant more Londoners are using bicycles to get aroun…",1,1,True
88,Today has been a mentally draining ass day😴,1,0,False
89,Florida’s Utilities Keep Homeowners From Making the Most of Solar Power https://t.co/yIPgdkZU9E,1,1,True
90,@wthyunho @: ☆☆☆☆☆ layout: ☆☆☆☆☆ bio: ☆☆☆☆☆ pinned: ☆☆☆☆☆,1,2,False
91,@michaeljohns @Anonagain3 @LBC Back across the pond for this one.,1,1,True
92,@coachdan_19 Skills alone isn't a guarantee for success.. You think Messi and Ronaldo dwell  and thrive only on nat… https://t.co/P9gDHCxwqv,1,1,True
93,There’s been people in my DMs asking me about wholesaling and I put my ego aside and tell folks that I’m new and fr… https://t.co/wLO2l0uDPs,1,2,False
94,@kheti_thegreat Nappy Hut Savannah it’s beside the school,1,1,True
95,RT @___Alasiah: I’m still young but I’m ready to have it ALL together 😭,0,0,True
96,Do I wanna have sex with my girls mother or my girl when she gets older?... hmm,1,0,False
97,Heat damage is such a scary thing. I don’t ever want to experience it. I avoid straighteners &amp; hairdryers like the plague 😂😭,0,0,True
98,There's an Adelaide link to the Home Run Derby!  @Dodgers 3B coach Dino Ebel was an import for the Adelaide Giants… https://t.co/FytQZ1frKZ,1,1,True
99,RT @ShannonSharpe: Agree or Disagree? https://t.co/FmLUGzxqHT,2,1,False
100,RT @eveestg: THEY PLAYED THE WRONG SONG FOR THE NATIONAL ANTHEM I- https://t.co/7hM1riH1IO,0,0,True
101,"RT @billboardcharts: This week's top 5 on the #WorldDigitalSongSales chart:  1. @BTS_twt ""Heartbeat"" (debut) 2. @BTS_twt ""Lights"" (debut) 3…",1,1,True
102,RT @TeenChoiceFOX: Don't sleep on retweeting this to vote for @billieeilish's When We All Fall Asleep Tour for #ChoiceSummerTour! 💤 #TeenCh…,0,1,False
103,"RT @MarkWarner: REMINDER: in under 24 hours, the Trump Administration will head to court to overturn the Affordable Care Act and   ❌  Strik…",1,1,True
104,u know you're coping up with depression too well when you're doing your kilay too strong. leggo kick some negativit… https://t.co/vmlz9G9lZJ,1,1,True
105,@dbongino Gotta find me some Home Depot.,1,0,False
106,RT @BeshieKaories: I'm sure lalayag ulit to pero it'll be blue na !  Can't wait💙     @kaori_oinuma @DarlingKaori @PBBabscbn #BringBackKAORI…,2,2,False
107,"RT @nuearthangel: If you've never known what a healthy relationship is, you may subconciously try to create chaos because you feel ""bored""…",1,1,True
108,RT @ArmyBrigade13: To gather stars  1. Go to events   2. Scroll to the bottom until you find the star  3. Click the star and you are given…,1,0,False
109,How the fuck do you have an elimination mixed tag without intergender? #wwe #RAW,1,1,True
110,"@catfynli i.... LOVE THIS.......... my horse girl, warrior stan heart is so full 💓😭",1,0,False
111,RT @FHawk94: I'm live everyone &lt;3 Come check me out on mixer at  https://t.co/KGqSPxSy8I @WatchMixer @MixerShares @MixerStreams @MixerRetwe…,1,1,True
112,RT @judyschear: Love this. ❤️   Parents: don’t abandon your kids.  It’s heartbreaking.  #Pride2019 https://t.co/O3M2W79Rx8,1,1,True
113,"@marklevinshow I don't really care if anyone likes or dislikes our country. I love it, but that's the beauty of our country.",1,1,True
114,RT @shancherxo: look at her face 😂😭 this is toddlers when you ask them what’s in their mouth. https://t.co/e3cl6QacLT,0,0,True
115,RT @OGTREEZ: Me at work acting fake busy for the last 30 minutes of my shift https://t.co/BIu2GJTZPR,0,0,True
116,RT @SourceDuMal: This is how you market a bra. This is a STRAPLESS BRA she is doing a cartwheel in people. This company goes up to a K cup.…,1,0,False
117,"RT @LiiiimDixoonn: In Singapore, they let you drown in anything. Debts, depression, stress, bedok reservoir etc. https://t.co/fO5B92s2go",0,0,True
118,I feel like crying. It's ok tho,1,1,True
119,Finally finished stranger things and I'm just fucking !!!!!!!! UGH,1,1,True
120,I swear I accept one friend request on fb then 20 randoms add me,0,0,True
121,RT @LGBTELEVEN: maya hawke                  uma thurman stranger things            in kill bill vol. 1 (2019)…,1,1,True
122,"RT @amoebamusic: Want to win tickets to see @robynkonichiwa perform in Los Angeles Saturday, July 27th at @theforum?   RT and follow us to…",1,1,True
123,RT @Sopebubble_: This is the best thing I've ever done in my life https://t.co/QfnBcopRMD,2,2,False
124,They cant,1,1,True
125,@VG247 I'm really excited I used to watch Digimon in my youth and this game looked so good on PS4. Here's hoping I'… https://t.co/awkBcH4LkK,1,1,True
126,There will be detailed guides for the Yeezy Lundmark drop. We will provide all the information you need to have the… https://t.co/d28zDnXNeQ,1,1,True
127,"Twitter gay: you guys only like me when I’m shirtless   Same twitter gay: ONLY posts shirtless pictures and nothing else???,",0,0,True
128,@TylerJCameron3 what are you drinking tonight my man,1,1,True
129,RT @josiewosie_: i just fall in love picture by picture https://t.co/sskiRe9nXp,1,1,True
130,RT @TajinderBagga: *Urgent Blood Required*  Patient Name : *Dileep Kumar Tripathi* Blood Group required : *B+ Positive* Location &amp; Hospital…,1,1,True
131,"Don McLean - The meaning of American Pie (UPDATE) https://t.co/QI4vohepea via @YouTube  DON MCLEAN'S SONG ""AMERICAN… https://t.co/b6qeaFtMm9",2,2,False
132,"RT @wrongtxtquote: yoongi: i’m small but knowing  soobin: you don't know what the top shelf looks like, hyung  yoongi:  soobin:  yoongi: ho…",2,0,False
133,RT @bhaskar_tr: Rape has become business to earn money  @GR_Barbarika #MenToo https://t.co/jjjuxO8z6x,1,1,True
134,@RUMINT79 @CletusAbernathy @davidmweissman @Rosie You need a house vote to start impeachment hearings my dude. Step… https://t.co/tqzQvKhdJw,1,1,True
135,#StartForLife (left 2 pamphlets NHS) vs #ChangeForLife (right 2 #sugartax) No Added Sugar (NAS) = Artificial SWEETE… https://t.co/iMoC2SBLxW,1,1,True
136,RT @_fairykook: @ stan accounts who treat their mutuals like fans  https://t.co/OwXRciNw2a,1,1,True
137,RT @realDonaldTrump: Spoke to @GOPLeader Kevin McCarthy about the earthquakes in California and informed him that we will be working very c…,1,1,True
138,RT @kwonkims: remember when the boys were whining because they didn't want to sleep in separate rooms #KeepHoldingOniKON https://t.co/WaHmW…,2,1,False
139,"if you come at my boyfriend all friendly and don’t have the decency to introduce yourself to me or say hello, you’r… https://t.co/Hd3oDAa88e",0,1,False
140,@gewargas @TeddysMom8 @Lynne_Sippel @destination1111 @Pakeha56 @shez19833 @shoozer12 @Ilanyv2 @ITsalagi… https://t.co/ZhTwdYfpEZ,1,1,True
141,RT @GARATSmeanie: whats your fave concept you've done so far? Cheol: (our) next concept OKAY SVT IS DEFINITELY HAVING A COMEBACK SOON MOM-…,1,1,True
142,Nove #AustinMahoneNaMix,1,1,True
143,RT @officialgham: Me in primary school when I put my hand up to tell on a classmate and ask the teacher to go to the toilet instead https:/…,2,0,False
144,*mimosas &amp; damn twitter can we get an edit button yet 🙄,0,0,True
145,"RT @doyangeprek: Please help support BTS FESTA 2019 , add a #Twibbon now! https://t.co/XuNtH5yAIQ",1,1,True
146,RT @yonndone_: Y’ALL.😂 Joe Biden said WHO RACIST?  watch until the end of the video😂😂 https://t.co/IiDGRP4sa8,0,0,True
147,RT @steph93065: How can Maurene Comey be involved in prosecuting the Epstein case?   Her family are very big supporters of the Clintons. Wo…,1,1,True
148,RT @SvtMinion: Seventeen is a magical group that is very very rare in NY if you see them they bring you happiness and luck in your life  10…,1,1,True
149,@nicolazzo_e @eorden Not all bad. We're not all bad.,1,1,True
150,You can save time lying on the bed until you realize how fucked up traffic in the Philippines,0,0,True
151,RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,0,1,False
152,Ughh my heart!! ♥️ Zeke is too precious and I know his Tio Luis is watching over him! 😭♥️,1,0,False
153,RT @boshemia: @SDNYnews Thank you for doing what should have been done long ago. These victims deserve to be heard and fought for.   This i…,1,1,True
154,RT @tribelaw: Press access to criminal proceedings is a core First Amendment right. My first Supreme Court argument established that: Richm…,1,1,True
155,RT @VYSR4: i wanna know how it feels like to be this talented pls im talentless https://t.co/kT2j3o8L5e,1,0,False
156,@Boy1drr @prakdip @braeIynn then he gotta stop replyin to me wtf,1,1,True
157,RT @carIys: Going back to bed https://t.co/B3oXs3qWGe,1,2,False
158,RT @UmBongoUK: Win a Mini Arcade...Repeat WIN A MINI ARCADE!!!  This 2 Player Mini Arcade comes with 300 games which you can enjoy out and…,1,1,True
159,"RT @ottawa_asd_mum: 17/ The Ontario Autism Program *needs* a fresh start, so please, please, start fresh. Step away from the Childhood Budg…",1,1,True
160,Congrats!,1,1,True
161,RT @ActuallyGina: when u isolate yourself and people actually forget about you https://t.co/3oOY3Md4Ny,0,2,False
162,RT @TheOnion: Man Wasting His Life Playing Video Games When There Whole World Of Other Screens Out There https://t.co/OoNB81vr5v https://t.…,0,0,True
163,@WWEUniverse @WWE @WWERollins @BeckyLynchWWE Enough already with this! https://t.co/enWmp9qb2q,1,1,True
164,@QuanFlix_ That shit fireeee,1,0,False
165,RT @saba92767765: @AdnaanManning Nice,1,1,True
166,RT @ewarren: Thank you @EricSwalwell for your commitment to making gun reform front and center in this election. Gun violence is a public h…,1,1,True
167,@lahsmokinggun It’s a good thing.,2,1,False
168,RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,0,1,False
169,me to my friends am i a joke to you?,0,0,True
170,RT @Barnes_Law: Clinton is now claiming the FAA logs are lying about him. https://t.co/bbQPWR4p7n #FoxNews,1,1,True
171,RT @netanyahu: A Palestinian summer camp is teaching children to hate.   They are burning American flags and rejecting every plan for peace…,1,1,True
172,RT @trevor_norris0: absolutely no one:  Boyz N Motion: https://t.co/i1rulfqlNk,1,0,False
173,Testing my voice on a lo-fi beat how y'all doing,2,0,False
174,RT @YFan914: Here we go again.... some asshole wants to be social media famous... well let’s make him famous people! Retweet away! https://…,0,0,True
175,RT @94ever_rain: tae telling hobi to make a crying face and them both making crying faces together 🥺 https://t.co/a3AJ4sNOKd,1,0,False
176,Wishing to be somewhere else but here and it’s alright,0,1,False
177,RT @LAmaleCA: @BBCWorld BAN the Scooter,1,2,False
178,RT @LilNasX: 14 WEEKS AT NUMBER 1 LETS GOOOOO !!! https://t.co/ecOGen1bKu,1,2,False
179,"RT @uhkent: here’s the letter I left to my parents before moving out in english and spanish, I’m never changing who I am 🏳️‍🌈 https://t.co/…",1,1,True
180,RT @FightfulWrestle: Taker wanted to make his hot tag the hottest hot tag in wrestling history 😂😂😂   https://t.co/0VnMKE60S0,0,0,True
181,RT @Zero_N_Bless: Water for Flint. Now this. One of the youngest celebs but doing the most for his people! I like this energy 🙏🏾 https://t.…,1,1,True
182,@GlennRubenstein @WrestlingInc Is it just me or has this couple combo really destroyed both their momentum and made… https://t.co/RQSvuRderx,1,1,True
183,Come back to the Gulf Miss Costa!,1,1,True
184,"RT @SerieTV46: #HEIZE ""We don't talk together"" feat. Giriboy (Prod. #SUGA) - 09:00 KST:  #1 Bugs (=) #1 Genie (=) #1 Mnet (=) #1 Naver (=)…",1,1,True
185,RT @classofshi: how do we support teachers to value surface-level learning as part of the process to deeper learning and understanding to s…,1,1,True
186,"We don't look for trouble, we just have fun, but there's always someone tryna show what they can do0o0o0o",2,0,False
187,RT @catturd2: Apple Co-Founder Steve Wozniak Says Everyone Should Delete Facebook Because Conversations Aren’t Private.   No problem - neve…,0,1,False
188,RT @beemyhope_: bruh i will never forget that day when bighit has suddenly dropped the tour dates and ticket selling for sy tour and a lot…,1,1,True
189,RT @Criterion: Our Pedro Almodóvar retrospective has begun! ⚡️❤️Get a taste of the films on view—which showcase his unique ability to blend…,1,1,True
190,RT @HOBIlIlIll: Why snoop looks like he’s at a fan sign https://t.co/QE5SDXhWD8,2,0,False
191,RT @sparkIy: me at 4am setting my alarm for 6:15 6:30 6:45 and 7:00 https://t.co/jCMD06DBdL,0,0,True
192,RT @MariahCarey: Today’s episode of #MomentsWithMimi is live on my IGTV! @marshmellomusic is Roc &amp; Roe's favorite artist so we decided to s…,1,1,True
193,Deep State wins again: unelected federal judge rules against Trump on drug pricing disclosures https://t.co/O5PYOdL9Dg #DeepState #BigPharma,1,1,True
194,I feel another all nighter coming on,1,2,False
195,RT @Crophugger: Pete Buttigieg Strikes Out on Racism and Police https://t.co/oJ5LOryp4N,1,1,True
196,"RT @DiivesArt: Please, GIMME 10! 😍💦 #diives #xingzuotemple #xingzuo_temple https://t.co/IkoGpZtqFj",1,0,False
197,RT @BarstoolRia: Are we going with Pilot Pete or Pete the Pilot? Let’s settle this once and for all #TheBachelorette,2,0,False
198,RT @OperatorOperatn: Live for the night. Ranked @PlayApex.  https://t.co/bWiyYQIhnW  @UnjustifiedGG,1,1,True
199,RT @RyanDestiny: super exciteddd. love this show! hopefully I fit in ok😬💙 https://t.co/EQCEW8PvA7,1,0,False
200,"@Bigseats12 Thank you for the follow! Much appreciated, sorry j missed it right away.",1,1,True
201,RT @MohamedAlKhoor: Dont ask me why im mad when u don’t have the mental capacity to understand what you did wrong.,2,1,False
202,RT @DougBowen5: @SenSchumer They are not prisoners and can go back  home if they want. Why can’t Mexico take them?,2,1,False
203,RT @Unexplained: We got this new guy at work...He’s really nice. https://t.co/oHHqdr3bCu,1,2,False
204,@Spiritsncrystal OMG THEYD BE THE ULTIMATE DUO,1,0,False
205,RT @kmaarrie: i wanna travel with you &amp; fuck in every city we go to,2,2,False
206,RT @YUNGBANS: I can’t beef with no city girl 💁🏾‍♀️ https://t.co/bFc6vt7NwW,2,0,False
207,"@VP @CBP @HHSGov #potus said, he's been &amp; seen some of the facilities.!? FUCKING BULLSHIT LIE. YOU AND HIM BOTH HAV… https://t.co/U3nbJgKs4t",1,1,True
208,@HGlorioso1996 @MizRvnTCB @Becky_Boo274 Soooooper hard 😂🐻,0,0,True
209,RT @btsdistortedvid: yeontan sweetie im so sorry,1,1,True
210,Is it weird to be attracted to animated characters? Asking for a friend 😅,2,0,False
211,RT @aftermovie: So much Hardin ink… Does anyone have an “After” tat? 🖤 #AfterMovie https://t.co/ccVfujMACl,1,0,False
212,@minabff apparently. tis wut i hav Heard,1,1,True
213,RT @CosechaMovement: 🔴 LIVE: hundreds of Jewish allies are marching through Chicago in solidarity with undocumented immigrants to demand an…,1,1,True
214,RT @ChrisMurphyCT: Your afternoon reminder that tomorrow the Trump administration is going to court to overturn protections for 130 million…,1,1,True
215,"@TaylorLorenz Air-conditioning saves countless lives every year,  you imbecile.  Good god where are they coming fro… https://t.co/EO6VCksvtg",0,1,False
216,"RT @solomonbrett: Worth a read - just when journalists needs the internet the most, is often the time when governments deliberately shut it…",1,1,True
217,Fine Fashion Jewelry Blue Sapphire Size:6 Women's Ring 18K white Gold Filled | eBay  https://t.co/EvlG94Bbx3 https://t.co/5Ff80UF0W7,1,1,True
218,RT @alyssalimp: Me and my gals in college: yaaaas let’s drink this BAG of wine &amp; go DAAAANCING  Me and my gals now: Ok so what you are expe…,0,0,True
219,RT @MariahCarey: Challenge accepted! #bottletopchallenge https://t.co/Rygijd6z5W,1,1,True
220,RT @Stplmstr: Forgot to upload some fusionings so here be some more :D #pokemon #Pokefusions #pokemonfusions https://t.co/DOZ8RWQHqL,1,0,False
221,RT @vinnybrack: This is an act of terrorism  https://t.co/suPplvRFZs,1,1,True
222,"RT @Evomanaphy: I heard that Bea is shredded, that she has an eight pack 👀  #PokemonSwordShield https://t.co/vf2bvjFlkb",1,0,False
223,Cell Phone Courtesy Month is the perfect time to remind you not to text and drive! https://t.co/GKcJpSn27S,1,0,False
224,i'm going to say this one last time...  this is MY twitter account where i can tweet whatever the FUCK i want to. i… https://t.co/02xaf8tJU0,1,0,False
225,@barstoolsports @OldRowOfficial @5thYear OH MY GOD. THIS IS @cartereaux 😂😂😂😂😂,0,0,True
226,Look at him I love him https://t.co/IESaa4nom3,1,2,False
227,"RT @gauthamrao: Overheard at Whole Foods, Silver Spring   Husband: I didn’t know there was a women’s World Cup.  Wife: say it louder so eve…",2,0,False
228,@nyalachi yeah.😯,1,0,False
229,Ivanka Trump: Viral shot of Donald Trump with daughter and Jeffrey Epstein exposed as hoax https://t.co/OPcHEL80cZ https://t.co/TobgLrykSw,1,1,True
230,RT @mari23rios: I would leave my keys locked in my car 🤦🏽‍♀️,0,0,True
231,aint got to tell me twiceee,1,1,True
232,RT @ihatejoelkim: When I see a tweet on Instagram it does sometimes feel like someone trying to turn in the same homework assignment for tw…,2,0,False
233,Well Fox... Mexico showed you who is better. https://t.co/KCfsREt9v1,2,1,False
234,RT @AuntLulie: OR is it because Mueller will not support the summary you wrote or the redacted report or the refusal to issue the full unre…,1,1,True
235,RT @Tara4MAGA: Former President Bill Clinton has issued a statement saying he “knows nothing about the terrible crimes Jeffrey Epstein plea…,1,1,True
236,#JeffreyEpstein #LolitaExpress  Jeffrey Epstein: traveled alongside Bill Clinton and Kevin Spacey https://t.co/6urmoWcIXY,1,1,True
237,Jeffrey Epstein: Financier charged with sex trafficking minors - BBC News Pleads not guilty because he thought the… https://t.co/nxXKErjh3k,1,1,True
238,@nvmbwrId @taescosmo that’s harsh,1,1,True
239,Love you too 💕💕💕🎼🎧,1,0,False
240,"Now I wouldn't say I'm totally manipulative, demanding and in control (fuck I'm all that 💀) But this is how I'm try… https://t.co/1s0c6LndTM",0,0,True
241,RT @abhishkJntrMnt: God ordered Living Beings to be Vegetarians - Holy Bible Those who eat meat are going against God. #MondayMotivation,1,1,True
242,"RT @hsalover: bitches love memo ochoa, it’s me I’m bitches https://t.co/REwUWKhDYs",2,0,False
243,RT @robinshawkins: eleven in season 1 episode 7 “the bathtub” https://t.co/a6wMDGv8zz,1,1,True
244,@yoongitrbll i’m late but 🗿,1,0,False
245,Also please don’t send me ccs asking when ems will be sent out or when I’ll be forwarding things from my kaddress e… https://t.co/mbIoqH4w6O,1,1,True
246,@OhDapperDan I could see you becoming a professional Dungeon master.,0,2,False
247,@blazeymc91 @shaunjlawson I was a much happier person when I was politically disengaged.,2,1,False
248,RT @bniceloco: How that McDonald’s sprite be hittin https://t.co/KmTiWEt2fM,1,0,False
249,SHOUT OUT TO YOU FOR THIS ONE!!!! https://t.co/R54tADIXC9,1,0,False
